Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,"Cumulative Daily Run Sizes of Adult Nass River Coho Salmon (? 40 cm NFL) to Gitwinksihlkw Fishwheels, 2000-2019."
16-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,Data are cumulative!
17-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,"From PDF emailed by Richard Alexander, 18 Sept 2019, pages 30-31"
18-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
19-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
20-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
21-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
22-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
23-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
24-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
25-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
26-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
27-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
28-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
29-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
30-Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
1-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
2-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
3-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
4-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
5-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
6-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
7-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,
8-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,30,,,
9-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,30,,,
10-Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,21,0,30,,,
11-Jul-19,0,0,0,0,0,19,0,0,0,0,0,0,0,30,0,0,62,21,0,30,,,
12-Jul-19,0,0,0,32,0,39,0,0,16,32,0,0,0,30,0,0,62,42,0,30,,,
13-Jul-19,0,0,0,32,16,39,0,0,33,32,0,0,0,30,0,0,92,42,0,61,,,
14-Jul-19,0,0,33,63,16,39,0,0,33,64,0,0,0,119,0,0,123,42,0,61,,,
15-Jul-19,0,0,33,127,32,39,29,0,49,64,47,0,0,119,0,23,154,84,39,61,,,
16-Jul-19,0,0,33,190,65,39,29,0,66,64,71,0,0,238,0,45,246,105,39,61,,,
17-Jul-19,0,0,66,190,113,96,72,0,99,159,95,0,0,565,19,113,370,189,39,61,,,
18-Jul-19,25,0,66,190,161,116,173,0,99,222,142,239,26,891,37,227,585,231,39,61,,,
19-Jul-19,51,0,66,317,210,154,288,0,165,318,284,342,38,"1,337",74,294,739,357,39,121,,,
20-Jul-19,51,0,66,412,403,193,447,25,329,477,332,512,64,"1,723",148,317,"1,016",588,116,213,,,
21-Jul-19,101,0,265,508,500,193,562,25,379,699,474,649,103,"2,110",333,385,"1,416",945,154,304,,,
22-Jul-19,127,0,563,698,629,251,634,25,461,"1,048",616,820,115,"2,912",500,521,"2,002","1,366",309,456,,,
23-Jul-19,152,0,629,"1,301",742,771,778,25,692,"1,557",711,"1,195",205,"3,536",870,634,"2,340","1,660",309,729,,,
24-Jul-19,202,0,795,"1,777","1,161","1,041",908,99,972,"2,065",876,"1,400",231,"4,398","1,314",702,"3,264","1,849",463,972,,,
25-Jul-19,228,49,894,"2,411","1,629","1,368","1,124",669,"1,334","2,383","1,066","1,571",384,"5,259","1,684",997,"3,849","2,437",733,"1,367",,,
26-Jul-19,329,81,"1,060","2,982","2,000","1,657","1,427",818,"1,647","3,145","1,350","1,912",449,"6,091","2,332","1,404","4,742","2,920","1,081","1,853",,,
27-Jul-19,405,146,"1,226","3,427","2,807","1,869","1,657","1,065","2,009","4,670","1,918","2,356",564,"7,102","2,924","1,654","5,327","3,635","1,312","2,278",,,
28-Jul-19,658,211,"1,755","4,347","3,404","2,197","2,118","1,462","2,503","6,259","2,416","2,698",730,"8,439","4,183","2,084","6,651","3,971","2,007","2,795",,,
29-Jul-19,759,454,"2,451","5,172","3,968","2,525","2,997","1,635","2,767","7,816","3,363","3,074",987,"10,014","5,275","2,311","7,914","5,484","2,741","3,524",,,
30-Jul-19,"1,088",908,"3,875","6,123","4,662","2,737","3,703","2,478","3,508","8,673","4,216","4,098","1,333","11,707","6,219","2,945","9,392","6,513","2,856","4,375",,,
31-Jul-19,"1,493","1,557","4,736","7,361","5,711","3,373","4,640","2,998","4,249","10,897","6,111","5,225","1,833","14,144","7,477","3,285","11,578","8,068","4,014","5,499",,,
1-Aug-19,"2,100","2,432","5,664","8,122","6,904","4,221","5,879","3,791","5,188","12,708","7,437","6,352","2,755","15,957","9,513","3,624","13,426","11,640","5,134","7,413",,,
2-Aug-19,"2,733","3,713","6,790","9,233","7,840","4,741","7,537","4,683","5,912","15,155","9,877","8,708","3,742","18,512","12,289","4,213","15,920","15,065","6,137","9,083",,,
3-Aug-19,"5,365","4,945","8,678","11,295","8,421","5,338","8,891","5,426","7,049","23,225","13,074","10,587","4,793","23,415","17,675","5,391","18,537","18,678","6,330","10,663",,,
4-Aug-19,"12,830","6,275","11,394","13,104","9,824","5,705","10,606","6,169","8,762","30,310","16,461","12,328","5,754","27,872","22,135","7,000","20,231","23,742","8,376","12,018",,,
5-Aug-19,"16,778","7,459","13,315","14,309","11,308","6,379","12,047","7,433","11,298","40,159","20,061","13,285","6,831","32,924","24,985","7,702","23,803","28,595","10,537","14,171",,,
6-Aug-19,"20,296","8,237","14,607","16,879","13,776","6,957","13,949","8,399","13,982","46,989","23,330","14,275","8,676","35,954","28,076","8,630","29,069","31,285","13,008","16,646",,,
7-Aug-19,"26,218","9,761","15,865","19,290","14,373","8,210","15,505","9,192","16,897","53,280","26,006","15,641","11,201","38,956","30,704","9,423","32,363","34,037","15,015","20,842",,,
8-Aug-19,"30,520","12,809","17,886","21,892","16,922","9,540","16,990","10,282","19,137","57,093","28,588","16,632","14,405","42,818","33,295","10,443","35,843","36,306","16,868","25,123",,,
9-Aug-19,"33,202","17,285","18,648","24,272","20,261","11,236","18,820","11,620","22,069","60,301","33,348","17,485","16,814","46,860","35,349","11,598","39,076","39,038","19,029","27,479",,,
10-Aug-19,"36,745","20,998","20,238","26,461","23,262","12,835","21,024","12,883","24,589","63,606","36,546","18,305","18,916","52,565","37,552","12,459","43,818","42,946","20,033","32,827",,,
11-Aug-19,"39,301","24,370","23,715","29,538","26,133","14,839","22,538","14,692","28,591","66,910","40,075","18,988","24,183","57,111","38,403","13,184","48,684","45,866","22,156","36,808",,,
12-Aug-19,"41,047","29,689","28,021","32,553","27,537","16,593","24,411","16,699","31,802","69,166","43,533","19,910","29,232","62,192","39,810","13,523","52,348","48,156","24,510","40,566",,,
13-Aug-19,"42,363","35,331","31,797","34,837","30,037","18,597","26,803","18,929","33,680","74,249","47,322","20,969","32,308","64,480","41,549","14,180","57,152","51,350","27,521","43,804",,,
14-Aug-19,"43,452","38,963","35,142","38,327","32,957","21,970","29,195","20,737","34,684","78,538","51,538","21,754","35,666","67,689","45,029","15,630","61,863","53,808","29,335","46,719",,,
15-Aug-19,"44,287","43,503","42,429","41,373","35,441","26,114","32,668","22,447","35,771","83,780","54,215","22,847","38,280","70,928","50,544","17,963","67,036","56,813","32,616","49,893",,,
16-Aug-19,"45,071","47,168","52,598","44,958","37,344","27,944","35,593","24,553","37,912","89,976","56,891","23,120","41,035","73,276","56,818","20,047","70,300","59,607","35,009","53,132",,,
17-Aug-19,"45,982","49,778","60,150","46,957","39,248","32,589","37,582","25,643","39,279","96,393","61,320","24,384","42,676","76,782","62,814","21,814","77,537","61,351","35,820","56,500",,,
18-Aug-19,"47,323","52,243","66,641","49,114","40,764","36,867","39,498","26,931","41,832","102,938","64,778","26,125","44,662","79,664","66,738","22,811","82,925","61,897","36,939","58,055",,,
19-Aug-19,"48,589","55,486","71,842","51,843","42,716","41,242","41,905","27,625","44,697","108,308","68,141","27,252","46,610","81,417","72,994","23,604","87,729","62,738","38,367","58,864",,,
20-Aug-19,"49,525","57,594","76,015","54,952","45,588","42,822","44,427","29,607","47,629","113,073","71,173","28,106","48,366","83,884","78,065","24,283","91,455","64,628","40,452","60,645",,,
21-Aug-19,"49,981","58,988","79,592","58,125","48,637","43,497","46,386","31,540","51,153","117,553","72,689","28,721","50,006","89,203","81,452","25,710","94,596","67,633","42,227","61,293",,,
22-Aug-19,"50,132","60,237","80,652","60,536","51,121","45,520","47,712","33,299","57,922","123,907","73,399","28,721","52,133","92,441","84,098","27,545","100,077","72,150","44,389","61,293",,,
23-Aug-19,"50,132","62,426","82,606","62,757","52,186","51,745","48,519","34,736","61,644","129,594","73,968","28,721","53,915","96,483","86,800","29,108","103,495","73,726","45,508","61,889",,,
24-Aug-19,"50,487","63,820","83,931","65,232","53,363","57,527","49,052","36,123","64,444","136,044","74,773","29,131","55,094","100,108","89,373","30,467","107,806","75,869","47,245","62,941",,,
25-Aug-19,"51,550","65,506","87,608","66,914","54,170","60,977","49,686","36,991","64,741","140,682","76,241","30,599","56,260","103,436","91,316","32,143","111,440","79,924","48,596","64,644",,,
26-Aug-19,"51,980","67,112","94,431","68,817","54,734","63,848","50,248","38,229","65,613","149,388","77,189","33,980","57,016","105,605","93,796","33,503","113,257","82,824","49,985","66,619",,,
27-Aug-19,"52,638","67,112","98,041","69,928","55,363","68,377","50,767","39,468","68,413","155,932","77,970","37,942","57,862","107,536","95,536","34,930","114,673","85,429","50,680","69,438",,,
28-Aug-19,"54,080","67,339","99,134","70,975","55,863","72,771","51,171","40,781","72,086","161,079","78,515","42,894","58,554","110,092","97,738","35,632","117,167","90,093","51,414","70,768",,,
29-Aug-19,"58,129","70,079","99,962","72,434","56,718","75,431","51,603","41,450","74,523","166,925","79,155","46,138","59,323","112,350","99,441","36,447","118,861","93,182","52,031","72,850",,,
30-Aug-19,"60,736","74,084","114,834","72,974","57,364","78,264","52,338","42,342","77,521","172,231","79,723","50,987","60,476","114,281","101,014","37,308","120,123","96,880","53,228","73,520",,,
31-Aug-19,"63,520","76,857","124,804","73,703","57,622","80,480","53,116","43,432","80,073","177,886","80,315","54,983","61,335","115,619","102,994","37,852","121,201","99,149","53,923","74,032",,,
1-Sep-19,"65,013","78,397","134,542","74,528","57,993","83,005","53,534","44,448","82,379","182,620","80,599","57,613","62,014","117,253","103,864","38,509","122,895","101,418","54,386","74,331",,,
2-Sep-19,"66,405","79,970","141,862","75,036","58,380","84,778","53,995","45,290","82,824","185,511","80,765","60,276","62,745","118,649","105,326","39,437","125,605","104,233","54,965","74,671",,,
3-Sep-19,"67,240","81,494","150,705","75,988","58,654","86,763","54,730","46,306","83,631","188,116","81,120","62,189","63,321","119,600","107,621","40,887","127,729","107,196","55,852","74,897",,,
4-Sep-19,"67,898","82,532","158,654","76,844","58,848","88,169","54,730","47,050","84,059","191,039","81,191","63,316","63,937","120,640","109,139","41,997","130,070","109,990","56,354","75,209",,,
5-Sep-19,"68,404","84,283","163,291","77,574","59,170","89,673","54,730","47,818","84,520","192,787","81,855","64,101","64,616","121,977","110,971","42,745","132,194","112,133","56,586","75,556",,,
6-Sep-19,"68,885","85,515","165,709","77,574","59,396","90,521","54,730","48,586","84,817","194,216","82,778","64,819","65,308","122,988","113,340","43,107","134,042","113,667","56,817","75,773",,,
7-Sep-19,"69,112","86,764","166,239","77,574","59,671","91,349","54,730","49,601","84,817","195,837","83,607","64,819","65,923","124,206","114,802","43,492","135,150","114,781","57,165","76,024",,,
8-Sep-19,"69,416","87,493","167,266","77,574","59,880","92,101","54,730","50,370","84,817","197,171","84,792","64,819","66,384","125,157","116,172","43,741","136,505","115,768","57,474","76,236",,,
9-Sep-19,"69,644","88,174","167,829","77,574","60,025","92,563","54,730","51,261","84,817","198,378","85,668","64,819","66,974","125,929","117,282","44,058","137,214","116,419","57,975","76,427",,,
10-Sep-19,"69,948","88,596","167,829","77,574","60,106","93,932","54,730","52,228","84,817","199,522","86,473","64,819","67,448","126,880","119,521","44,262","137,214","116,419","58,014","76,819",,,
11-Sep-19,"70,251","88,904","167,829","77,574","60,106","95,512","54,730","52,897","84,817","200,317","87,042","64,819","67,717","128,039","120,873","44,353","137,214","116,419","58,284","77,055",,,
12-Sep-19,"70,606","89,098","167,829","77,574","60,106","96,437","54,730","53,690","84,817","201,683","87,752","64,819","68,063","129,258","122,298","44,353","137,214","116,419","58,400","77,256",,,
13-Sep-19,"71,036","89,261","167,829","77,574","60,106","97,651","54,730","54,210","84,817","201,683","88,273","64,819","68,486","129,882","123,223","44,353","137,214","116,419","58,516","77,383",,,
