Return Year,Tags in Escapement,Wild Escapement
1988,397,1004
1989,278,1853
1990,337,2414
1991,614,2722
1992,162,1819
1993,267,1140
1994,592,1793
1995,312,1449
1996,216,965
1997,73,321
1998,440,2027
1999,2752,6126
2000,1210,2720
2001,2035,4045
2002,1009,2971
2003,1306,3963
2004,567,2133
2005,766,4134
2006,766,2334
2007,312,2318
2008,353,2067
2009,1508,4622
2010,1205,2995
2011,882,1218
2012,765,2285
2013,578,4722
2014,1738,5566
2015,487,2265
2016,1364,5276
2017,542,3558
2018,295,354
2019,258,1226
2020,495,2705
2021,494,2419
