Year,Wildharvest,trollindex,EstTotalWildAbund
1982,1279950,0.34274485659762943,3734410.5253857006
1983,1223558,0.3741921316744573,3269865.6557120793
1984,1061739,0.33725285176535885,3148198.7311368887
1985,1493476,0.3867581138689501,3861524.675099777
1986,1849726,0.4404741368014765,4199397.525202891
1987,949680,0.3559651018665733,2667901.9797732006
1988,472404,0.30583586090039994,1544632.4659548197
1989,1293847,0.5293010827775528,2444444.2720774855
1990,1542036,0.4376413141284875,3523515.605629665
1991,1334370,0.3231310060180094,4129501.580314549
1992,1509056,0.39480859109134303,3822247.119366418
1993,1999697,0.4881510114771016,4096472.1018381063
1994,2950482,0.4466935785696622,6605158.752108343
1995,1416322,0.35113468896092404,4033557.6191323414
1996,1457108,0.43298229690582724,3365283.085273387
1997,927411,0.34924719827313583,2655457.2365522585
1998,1307089,0.41125102322900553,3178324.0069220355
1999,1757702,0.4273545454942621,4112983.045417496
2000,873853,0.35142494584978357,2486599.230703241
2001,1472486,0.34098829265233804,4318289.019679936
2002,973936,0.21277218916593785,4577365.133186847
2003,934291,0.253731437556589,3682204.3377720104
2004,1602704,0.40907012561455924,3917919.9351020954
2005,1701804,0.3675307993898101,4630371.1221628385
2006,1143672,0.32084880487409084,3564520.0562576684
2007,1071758,0.40085835558627714,2673657.627598895
2008,1002963,0.27212428020482843,3685679.937288462
2009,1342777,0.34556734918194604,3885717.221776671
2010,1057087,0.2952451301984087,3580370.6543427943
2011,959039,0.2240010446741647,4281404.139855832
2012,906923,0.26040936694494277,3482681.942818696
2013,1643066,0.33232743986462604,4944117.767311976
2014,1607184,0.25020534970143304,6423459.777809839
2015,872564,0.2723283194537398,3204088.365654611
2016,1048766,0.21173465305772898,4953209.051302794
2017,1763912,0.35040406152219405,5033937.084910977
2018,628452,0.1823175596278125,3447018.4949981626
2019,660271,0.1679279004855571,3931871.9408201473
2020,564679,0.14461861232904843,3904608.0646604104
2021,621220,0.15090349914708318,4116670.610762359
